year,hires,termination,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,199,839,80.83
2006,1069,203,866,81.01
2007,1058,159,899,84.97
2008,1061,157,904,85.20
2009,1094,164,930,85.01
2010,1050,147,903,86.00
2011,1057,130,927,87.70
2012,1059,127,932,88.01
2013,1042,111,931,89.35
2014,1014,105,909,89.64
2015,1011,103,908,89.81
2016,1076,87,989,91.91
2017,1043,70,973,93.29
2018,1090,66,1024,93.94
2019,1038,64,974,93.83
2020,967,49,918,94.93
